reward,loss,timesteps
181,568.0817,625627
185,1076.7446,627663
184,1138.5718,629358
206,5262.4844,631763
223,615.8374,633955
203,461.4666,636027
208,3223.937,638357
213,1396.782,640078
209,328.24207,642308
198,341.29953,644152
190,160.8526,646555
148,196.49211,648841
115,127.07034,650602
116,388.7458,652479
104,118.85879,654432
85.7,116.014626,656633
89.4,122.43053,658459
92.3,163.9172,660600
95.2,114.47529,662965
96.6,139.65143,664975
99.7,215.71794,666968
101,207.82385,669140
113,1224.4447,671117
118,642.5908,672486
137,293.95087,674645
156,381.80554,676873
158,1251.9102,679494
170,298.90366,681492
174,305.0539,683145
176,274.3784,685252
182,1602.9099,686273
192,249.03014,689559
190,415.7338,691236
174,418.22943,693719
172,258.9378,695542
164,1256.2854,697273
166,512.41473,699382
171,234.14642,702014
176,517.9708,703382
176,172.74329,705731
168,227.8512,707989
166,304.7924,709954
161,278.1669,712135
163,208.72754,714005
157,226.42459,715540
159,136.58496,718245
152,181.10129,720291
148,219.12718,722195
161,2009.1185,724182
170,779.6867,726608
170,449.70947,728135
171,274.85995,730378
181,393.1363,732245
178,377.1061,734272
185,532.2097,736646
178,256.16644,738404
164,244.91957,741050
160,4007.0354,742458
175,625.0587,744567
179,980.685,746204
184,409.68433,748118
181,1248.7415,750915
182,798.4158,752437
191,1305.7382,754697
190,273.64288,757047
193,173.68367,758731
190,380.63312,760528
200,941.1056,763233
184,325.82565,764749
185,311.15485,767008
173,296.64966,769153
169,430.5743,771009
166,88.1233,773011
154,199.04382,775421
154,257.4792,777223
158,287.80252,779430
160,196.84113,781881
158,139.5632,783038
153,422.26697,785496
152,110.86857,787740
159,273.18805,789731
153,298.96243,791619
162,202.91359,793769
164,272.15625,795861
164,113.57929,797788
163,422.96637,799740
172,371.87415,802077
170,120.18073,803918
165,474.39136,805895
166,326.5652,808058
166,218.86545,810478
168,254.3783,811559
165,256.75275,814603
160,1204.3849,815660
170,687.7725,818019
165,200.82867,820277
160,183.47272,822750
163,258.27142,824428
172,417.71848,826658
162,138.88495,828505
166,279.1986,830329
165,93.34958,832169
167,184.70053,834458
178,1361.58,836696
160,239.8863,838893
164,374.0702,840781
164,167.00162,842634
176,288.23584,845070
172,156.52222,846985
176,137.79109,849003
186,597.11505,851365
191,318.0417,852942
182,494.10617,855241
183,203.14508,857446
189,321.22095,859015
196,144.44804,861520
201,441.62457,862613
202,1124.6177,864832
204,282.69852,867542
206,198.18056,869582
219,1210.1936,871801
212,173.44647,873756
208,226.57011,875640
208,373.88904,877682
222,1052.7053,879775
219,430.94952,881805
223,369.16202,884039
216,200.41187,885957
220,1386.9707,887970
224,220.29376,890087
206,178.56061,891937
209,193.21649,894090
211,567.99176,895729
213,358.65915,898272
205,1162.4677,899855
210,519.4519,901041
220,582.80054,904131
221,386.4784,906472
199,235.07124,908610
202,918.32117,910522
209,388.71533,912515
206,523.313,914790
199,203.90262,916620
188,193.76053,918513
174,311.349,920699
177,175.06995,923177
177,305.41675,924940
181,187.82182,926674
167,301.4221,929100
162,354.5149,930788
174,1121.1091,933496
180,214.87021,935043
183,339.67664,937081
185,189.33975,939166
176,335.45273,941071
184,160.9273,943576
187,210.09116,945316
193,359.39148,947344
202,288.73163,949030
201,168.46832,951242
194,225.48404,953361
196,337.50504,955689
194,374.3456,957452
203,407.81293,959583
208,294.4337,961560
209,429.46808,963593
205,310.49075,965271
207,375.49927,967906
213,1758.4653,968907
232,479.81448,972025
231,239.93697,973992
231,197.78468,975985
225,383.51184,978120
223,182.65204,980337
218,143.32759,982004
217,945.10626,984447
222,1243.6151,986319
231,458.91415,988084
232,376.2426,990587
214,362.6374,992176
209,454.8828,994579
214,178.27823,996647
218,1162.1118,997977
228,203.3056,1000599
238,553.0243,1003050
237,1030.58,1004701
237,669.0823,1006515
230,372.3703,1008918
219,318.52664,1010599
219,380.18134,1012996
226,1329.9823,1014610
232,434.09933,1017129
227,162.64041,1018804
228,1803.6251,1020956
233,186.11847,1023052
214,193.76848,1025254
211,493.91336,1026547
212,373.46365,1029463
206,247.74898,1031292
211,1213.9835,1033303
205,360.3299,1035378
197,188.50858,1037429
189,1141.3031,1039618
186,1075.695,1041293
188,1154.8698,1043153
207,310.84003,1045846
199,211.03035,1048179
204,277.0732,1049637
201,456.10443,1051335
204,3937.646,1053632
211,756.0894,1055440
223,335.11206,1057815
231,1328.6471,1059264
232,1093.3569,1061908
239,687.37744,1063344
230,259.6287,1066199
234,331.727,1068040
243,336.21967,1070169
255,1479.3123,1072177
262,354.0744,1073951
254,515.67554,1076361
242,559.96375,1078520
227,19182.424,1080525
250,716.8353,1082425
237,357.32132,1084588
231,288.35504,1086960
229,322.83063,1088608
207,207.8624,1090620
197,466.54865,1092926
196,370.90433,1094797
192,532.0564,1096718
202,647.34845,1098332
207,437.3048,1100048
187,1068.188,1103433
194,461.466,1104941
202,466.6471,1107225
198,1136.8903,1108061
